제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료
뱅꼬레아이스와인,5,2,2,4,12,0,과실주,375ml,90000,(주)한국와인,양조용포도
뱅꼬레화이트와인,4,3,3,2,11,0,과실주,375ml,23000,(주)한국와인,양조용포도
베베마루캠벨로제,3,1,1,3,12,0,과실주,375ml,20000,월류원,포도
베베마루캠벨로제스위트,2,2,1,3,10,0,과실주,375ml,20000,월류원,포도
별바랑,4,2,2,4,17.5,0,약주/청주,375ml,27000,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,정제수"
병영설성동동주,2,2,3,2,6,0,탁주,1700ml,2500,병영양조장,"쌀,전분,효모,누룩,정제수"
병영설성생막걸리,3,2,2,2,6,0,탁주,750ml,3500,병영양조장,"쌀,효모,누룩,정제수"
병영설성사또,,,,3,40,0,증류주,700ml,40000,병영양조장,"쌀,효모,누룩,정제수"
병영소주,3,0,3,4,40,0,증류주,700ml,59400,병영주조장,"정제수,보리증류식소주원액"
복분자아락,2,,,3,40,0,증류주,500ml,40000,농업회사법인배상면주가고창LB,"복분자증류원액,정제수"
복분자음,2,2,1,3,12,0,과실주,375ml,6000,농업회사법인배상면주가고창LB,"복분자,정제수"
복순도가손막걸리,2,3,5,4,6.5,1,탁주,935ml,12000,김정식,복순도가
볼빨간막걸리10,1,5,4,4,10,0,탁주,500ml,7000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
볼빨간막걸리7,1,4,3,2,7,0,탁주,500ml,5000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
봉하쌀생막걸리,1,2,3,2,6,0,탁주,750ml,2000,농업회사법인(주)죽향도가,"쌀,정제효소,젖산,효모,아스파탐,정제수"
부안참뽕막걸리,2,1,3,3,6,0,탁주,950ml,2000,내변산(동진주조),"쌀,오디,종국,정제수,누룩,효모,아스파탐"
부안참뽕와인,3,2,1,4,13,0,과실주,750ml,18000,내변산(동진주조),"오디,정제수,주정"
부자10,4,1,1,2,10,0,탁주,375ml,5000,배혜정도가,"쌀,정제수,고과당,효모등"
불소곡주,2,,,4,43,0,기타주류,700ml,30000,한산소곡주,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추"
붉은원숭이,4,2,2,4,10.8,0,탁주,375ml,7000,술샘,"쌀,누룩,홍국,정제수"
블루베리이야기,3,1,1,3,12,0,과실주,375ml,6000,농업회사법인산들벗(주),"국내산산머루,블루베리"
산내울복분자주,4,4,3,3,16,0,기타주류,750ml,20000,거창사과원예농협,"복분자,설탕,주정,정제수,과당"
산내울사과애주,4,4,3,2,16,0,기타주류,750ml,14000,거창사과원예농협,"사과,설탕,주정,정제수,과당"
산내울오미자주,2,3,3,2,16,0,기타주류,750ml,20000,거창사과원예농협,"오미자,설탕,주정,정제수,과당"
산막대덕주,3,1,1,2,13,0,약주/청주,600ml,20000,농업회사법인신탄진주조(주),"국내산쌀,우리밀누룩"
산막생유막걸리,1,3,3,4,6,0,탁주,750ml,1200,농업회사법인신탄진주조(주),"국내산쌀,소맥분,종국,효모"
삼선,1,4,2,2,10,0,탁주,500ml,15000,농업회사법인두루(주),"국내산쌀,누룩,정제수"
삼양춘생약주,2,1,1,2,15,0,약주/청주,500ml,20000,송도향전통주조,"강화섬쌀,전통누룩,정제수"
삼양춘생탁주,2,1,1,4,12.5,0,탁주,500ml,12000,송도향전통주조,"강화섬쌀,전통누룩,정제수"
삼양춘청주,3,4,2,3,15,0,약주/청주,500ml,16800,송도향전통주조,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모"
샤토미소랑,4,3,2,2,12,0,과실주,375ml,20000,도란원,청포도
샤토미소레드프리미엄드라이,2,3,2,3,13,0,과실주,750ml,40000,도란원,포도
샤토미소스위트,3,1,,3,12,0,과실주,750ml,20000,도란원,"포도,산화방지제,효모,설탕등"
샤토미소스위트로제,3,1,,2,12,0,과실주,375ml,20000,도란원,"포도,산화방지제,효모,설탕등"
샤토미소영동,,,,4,40,0,증류주,200ml,30000,도란원,포도
